calculation_id,category,title,formula_or_method,input_refs,result,unit,status,control_limit,limitation,model_refs,drawing_refs,report_refs,request_refs,source_status
CAL-S05,load_path,Representative beam line load,floor_area_load * tributary_width,"IN-005,IN-009",24.5,kN/m,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S06,load_path,Representative simple-span moment,line_load * span^2 / 8,"CAL-S05,IN-010",76.56,kNm,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-S07,load_path,Representative support reaction,line_load * span / 2,"CAL-S05,IN-010",61.25,kN,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-201,R-201,REQ-103,SIMULATION_ONLY
CAL-F01,foundation,Assumed bearing area,strip_width * total_strip_length,"IN-011,IN-012",72.0,m2,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-101,R-201,REQ-104,SIMULATION_ONLY
CAL-F02,foundation,Indicative average contact pressure,total_service_load / bearing_area,"CAL-S03,CAL-F01",18.54,kPa,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,S-101,R-201,REQ-104,SIMULATION_ONLY
CAL-E01,egress,Total simulated exit width,exit_count * exit_width_each,"IN-016,IN-017",2.4,m,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,F-101,R-301,REQ-105,SIMULATION_ONLY
CAL-E02,egress,Persons per simulated exit,peak_occupancy / exit_count,"IN-013,IN-016",100.0,persons/exit,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,F-101,R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-E03,egress,Persons per metre total exit width,peak_occupancy / total_exit_width,"IN-013,CAL-E01",83.33,persons/m,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,F-101,R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V01,ventilation,Ventilation flow regular_future,persons * rate_l_s_person * 3.6,IN-018,3780.0,m3/h,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"BLD-EXISTING,BLD-EXTENSION","A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V02,ventilation,Ventilation flow friday_future,persons * rate_l_s_person * 3.6,IN-018,3150.0,m3/h,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"BLD-EXISTING,BLD-EXTENSION","A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-V03,ventilation,Ventilation flow special_peak,persons * rate_l_s_person * 3.6,IN-018,5040.0,m3/h,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"BLD-EXISTING,BLD-EXTENSION","A-101,A-102",R-301,"REQ-105,REQ-107",SIMULATION_ONLY
CAL-P01,parking,Available spaces regular_weekday,capacity - occupied,IN-019,115.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P02,parking,Available spaces friday_pre_peak,capacity - occupied,IN-019,90.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P03,parking,Available spaces friday_prayer_peak,capacity - occupied,IN-019,55.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P04,parking,Available spaces saturday_active_use,capacity - occupied,IN-019,80.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P05,parking,Available spaces sunday_active_use,capacity - occupied,IN-019,100.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P06,parking,Synthetic parking surplus regular_future,minimum_available - demand,,25.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P07,parking,Synthetic parking surplus friday_future,minimum_available - demand,,30.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P08,parking,Synthetic parking surplus special_peak,minimum_available - demand,,15.0,spaces,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,"P-A,P-B,P-C,P-D,P-E",A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-C01,construction_activity,Construction-phase duration,sum(duration_days excluding operational use),,95.0,days,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,X-101,R-501,REQ-108,SIMULATION_ONLY
CAL-C02,construction_activity,Synthetic equipment operating hours,sum(equipment operating_hours),IN-020,496.0,h,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,X-101,R-501,REQ-108,SIMULATION_ONLY
CAL-C03,construction_activity,Synthetic transport activity,sum(movements * distance_km),IN-021,6600.0,vehicle-km,CALCULATED_CONCEPT_RESULT,PROFESSIONAL ACCEPTANCE CRITERION NOT APPLIED,CONCEPT CALCULATIONS - NOT FOR SUBMISSION OR EXECUTION,BLD-EXTENSION,X-101,R-501,REQ-108,SIMULATION_ONLY
