calculation_id,category,model_object_id,drawing_refs,report_refs,request_refs,source_status
CAL-P02,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P02,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P03,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P03,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P03,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P03,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P03,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P04,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P04,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P04,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P04,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P04,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P05,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P05,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P05,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P05,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P05,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P06,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P06,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P06,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P06,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P06,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P07,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P07,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P07,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P07,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P07,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P08,parking,P-A,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P08,parking,P-B,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P08,parking,P-C,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P08,parking,P-D,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-P08,parking,P-E,A-001,R-401,REQ-106,SIMULATION_ONLY
CAL-C01,construction_activity,BLD-EXTENSION,X-101,R-501,REQ-108,SIMULATION_ONLY
CAL-C02,construction_activity,BLD-EXTENSION,X-101,R-501,REQ-108,SIMULATION_ONLY
CAL-C03,construction_activity,BLD-EXTENSION,X-101,R-501,REQ-108,SIMULATION_ONLY
