id,type,source,target
REL-BAY-P-A-033-ZONE,part_of,BAY-P-A-033,P-A
REL-BAY-P-A-034-ZONE,part_of,BAY-P-A-034,P-A
REL-BAY-P-A-035-ZONE,part_of,BAY-P-A-035,P-A
REL-BAY-P-A-036-ZONE,part_of,BAY-P-A-036,P-A
REL-BAY-P-A-037-ZONE,part_of,BAY-P-A-037,P-A
REL-BAY-P-A-038-ZONE,part_of,BAY-P-A-038,P-A
REL-BAY-P-A-039-ZONE,part_of,BAY-P-A-039,P-A
REL-BAY-P-A-040-ZONE,part_of,BAY-P-A-040,P-A
REL-BAY-P-A-041-ZONE,part_of,BAY-P-A-041,P-A
REL-BAY-P-A-042-ZONE,part_of,BAY-P-A-042,P-A
REL-BAY-P-A-043-ZONE,part_of,BAY-P-A-043,P-A
REL-BAY-P-A-044-ZONE,part_of,BAY-P-A-044,P-A
REL-BAY-P-A-045-ZONE,part_of,BAY-P-A-045,P-A
REL-BAY-P-A-046-ZONE,part_of,BAY-P-A-046,P-A
REL-BAY-P-A-047-ZONE,part_of,BAY-P-A-047,P-A
REL-BAY-P-A-048-ZONE,part_of,BAY-P-A-048,P-A
REL-BAY-P-A-049-ZONE,part_of,BAY-P-A-049,P-A
REL-BAY-P-A-050-ZONE,part_of,BAY-P-A-050,P-A
REL-BAY-P-A-051-ZONE,part_of,BAY-P-A-051,P-A
REL-BAY-P-A-052-ZONE,part_of,BAY-P-A-052,P-A
REL-BAY-P-A-053-ZONE,part_of,BAY-P-A-053,P-A
REL-BAY-P-A-054-ZONE,part_of,BAY-P-A-054,P-A
REL-BAY-P-A-055-ZONE,part_of,BAY-P-A-055,P-A
REL-BAY-P-A-056-ZONE,part_of,BAY-P-A-056,P-A
REL-BAY-P-A-057-ZONE,part_of,BAY-P-A-057,P-A
REL-BAY-P-A-058-ZONE,part_of,BAY-P-A-058,P-A
REL-BAY-P-A-059-ZONE,part_of,BAY-P-A-059,P-A
REL-BAY-P-A-060-ZONE,part_of,BAY-P-A-060,P-A
REL-BAY-P-A-061-ZONE,part_of,BAY-P-A-061,P-A
REL-BAY-P-A-062-ZONE,part_of,BAY-P-A-062,P-A
REL-BAY-P-A-063-ZONE,part_of,BAY-P-A-063,P-A
REL-BAY-P-A-064-ZONE,part_of,BAY-P-A-064,P-A
REL-BAY-P-A-065-ZONE,part_of,BAY-P-A-065,P-A
REL-BAY-P-A-066-ZONE,part_of,BAY-P-A-066,P-A
REL-BAY-P-A-067-ZONE,part_of,BAY-P-A-067,P-A
REL-BAY-P-A-068-ZONE,part_of,BAY-P-A-068,P-A
REL-BAY-P-A-069-ZONE,part_of,BAY-P-A-069,P-A
REL-BAY-P-A-070-ZONE,part_of,BAY-P-A-070,P-A
REL-BAY-P-B-001-ZONE,part_of,BAY-P-B-001,P-B
REL-BAY-P-B-002-ZONE,part_of,BAY-P-B-002,P-B
REL-BAY-P-B-003-ZONE,part_of,BAY-P-B-003,P-B
REL-BAY-P-B-004-ZONE,part_of,BAY-P-B-004,P-B
REL-BAY-P-B-005-ZONE,part_of,BAY-P-B-005,P-B
REL-BAY-P-B-006-ZONE,part_of,BAY-P-B-006,P-B
REL-BAY-P-B-007-ZONE,part_of,BAY-P-B-007,P-B
REL-BAY-P-B-008-ZONE,part_of,BAY-P-B-008,P-B
REL-BAY-P-B-009-ZONE,part_of,BAY-P-B-009,P-B
REL-BAY-P-B-010-ZONE,part_of,BAY-P-B-010,P-B
REL-BAY-P-B-011-ZONE,part_of,BAY-P-B-011,P-B
REL-BAY-P-B-012-ZONE,part_of,BAY-P-B-012,P-B
REL-BAY-P-B-013-ZONE,part_of,BAY-P-B-013,P-B
REL-BAY-P-B-014-ZONE,part_of,BAY-P-B-014,P-B
REL-BAY-P-B-015-ZONE,part_of,BAY-P-B-015,P-B
REL-BAY-P-B-016-ZONE,part_of,BAY-P-B-016,P-B
REL-BAY-P-B-017-ZONE,part_of,BAY-P-B-017,P-B
REL-BAY-P-B-018-ZONE,part_of,BAY-P-B-018,P-B
REL-BAY-P-B-019-ZONE,part_of,BAY-P-B-019,P-B
REL-BAY-P-B-020-ZONE,part_of,BAY-P-B-020,P-B
REL-BAY-P-B-021-ZONE,part_of,BAY-P-B-021,P-B
REL-BAY-P-B-022-ZONE,part_of,BAY-P-B-022,P-B
REL-BAY-P-B-023-ZONE,part_of,BAY-P-B-023,P-B
REL-BAY-P-B-024-ZONE,part_of,BAY-P-B-024,P-B
REL-BAY-P-B-025-ZONE,part_of,BAY-P-B-025,P-B
REL-BAY-P-B-026-ZONE,part_of,BAY-P-B-026,P-B
REL-BAY-P-B-027-ZONE,part_of,BAY-P-B-027,P-B
REL-BAY-P-B-028-ZONE,part_of,BAY-P-B-028,P-B
REL-BAY-P-B-029-ZONE,part_of,BAY-P-B-029,P-B
REL-BAY-P-B-030-ZONE,part_of,BAY-P-B-030,P-B
REL-BAY-P-B-031-ZONE,part_of,BAY-P-B-031,P-B
REL-BAY-P-B-032-ZONE,part_of,BAY-P-B-032,P-B
REL-BAY-P-B-033-ZONE,part_of,BAY-P-B-033,P-B
REL-BAY-P-B-034-ZONE,part_of,BAY-P-B-034,P-B
REL-BAY-P-B-035-ZONE,part_of,BAY-P-B-035,P-B
REL-BAY-P-B-036-ZONE,part_of,BAY-P-B-036,P-B
REL-BAY-P-B-037-ZONE,part_of,BAY-P-B-037,P-B
REL-BAY-P-B-038-ZONE,part_of,BAY-P-B-038,P-B
REL-BAY-P-B-039-ZONE,part_of,BAY-P-B-039,P-B
REL-BAY-P-B-040-ZONE,part_of,BAY-P-B-040,P-B
REL-BAY-P-B-041-ZONE,part_of,BAY-P-B-041,P-B
REL-BAY-P-B-042-ZONE,part_of,BAY-P-B-042,P-B
REL-BAY-P-B-043-ZONE,part_of,BAY-P-B-043,P-B
REL-BAY-P-B-044-ZONE,part_of,BAY-P-B-044,P-B
REL-BAY-P-B-045-ZONE,part_of,BAY-P-B-045,P-B
REL-BAY-P-B-046-ZONE,part_of,BAY-P-B-046,P-B
REL-BAY-P-B-047-ZONE,part_of,BAY-P-B-047,P-B
REL-BAY-P-B-048-ZONE,part_of,BAY-P-B-048,P-B
REL-BAY-P-B-049-ZONE,part_of,BAY-P-B-049,P-B
REL-BAY-P-B-050-ZONE,part_of,BAY-P-B-050,P-B
REL-BAY-P-C-001-ZONE,part_of,BAY-P-C-001,P-C
REL-BAY-P-C-002-ZONE,part_of,BAY-P-C-002,P-C
REL-BAY-P-C-003-ZONE,part_of,BAY-P-C-003,P-C
REL-BAY-P-C-004-ZONE,part_of,BAY-P-C-004,P-C
REL-BAY-P-C-005-ZONE,part_of,BAY-P-C-005,P-C
REL-BAY-P-C-006-ZONE,part_of,BAY-P-C-006,P-C
REL-BAY-P-C-007-ZONE,part_of,BAY-P-C-007,P-C
REL-BAY-P-C-008-ZONE,part_of,BAY-P-C-008,P-C
REL-BAY-P-C-009-ZONE,part_of,BAY-P-C-009,P-C
REL-BAY-P-C-010-ZONE,part_of,BAY-P-C-010,P-C
REL-BAY-P-C-011-ZONE,part_of,BAY-P-C-011,P-C
REL-BAY-P-C-012-ZONE,part_of,BAY-P-C-012,P-C
REL-BAY-P-C-013-ZONE,part_of,BAY-P-C-013,P-C
REL-BAY-P-C-014-ZONE,part_of,BAY-P-C-014,P-C
REL-BAY-P-C-015-ZONE,part_of,BAY-P-C-015,P-C
REL-BAY-P-C-016-ZONE,part_of,BAY-P-C-016,P-C
REL-BAY-P-C-017-ZONE,part_of,BAY-P-C-017,P-C
REL-BAY-P-C-018-ZONE,part_of,BAY-P-C-018,P-C
REL-BAY-P-C-019-ZONE,part_of,BAY-P-C-019,P-C
REL-BAY-P-C-020-ZONE,part_of,BAY-P-C-020,P-C
REL-BAY-P-C-021-ZONE,part_of,BAY-P-C-021,P-C
REL-BAY-P-C-022-ZONE,part_of,BAY-P-C-022,P-C
REL-BAY-P-C-023-ZONE,part_of,BAY-P-C-023,P-C
REL-BAY-P-C-024-ZONE,part_of,BAY-P-C-024,P-C
REL-BAY-P-C-025-ZONE,part_of,BAY-P-C-025,P-C
REL-BAY-P-C-026-ZONE,part_of,BAY-P-C-026,P-C
REL-BAY-P-C-027-ZONE,part_of,BAY-P-C-027,P-C
REL-BAY-P-C-028-ZONE,part_of,BAY-P-C-028,P-C
REL-BAY-P-C-029-ZONE,part_of,BAY-P-C-029,P-C
REL-BAY-P-C-030-ZONE,part_of,BAY-P-C-030,P-C
REL-BAY-P-C-031-ZONE,part_of,BAY-P-C-031,P-C
REL-BAY-P-C-032-ZONE,part_of,BAY-P-C-032,P-C
REL-BAY-P-C-033-ZONE,part_of,BAY-P-C-033,P-C
REL-BAY-P-C-034-ZONE,part_of,BAY-P-C-034,P-C
REL-BAY-P-C-035-ZONE,part_of,BAY-P-C-035,P-C
REL-BAY-P-C-036-ZONE,part_of,BAY-P-C-036,P-C
REL-BAY-P-C-037-ZONE,part_of,BAY-P-C-037,P-C
REL-BAY-P-C-038-ZONE,part_of,BAY-P-C-038,P-C
REL-BAY-P-C-039-ZONE,part_of,BAY-P-C-039,P-C
REL-BAY-P-C-040-ZONE,part_of,BAY-P-C-040,P-C
REL-BAY-P-D-001-ZONE,part_of,BAY-P-D-001,P-D
REL-BAY-P-D-002-ZONE,part_of,BAY-P-D-002,P-D
REL-BAY-P-D-003-ZONE,part_of,BAY-P-D-003,P-D
REL-BAY-P-D-004-ZONE,part_of,BAY-P-D-004,P-D
REL-BAY-P-D-005-ZONE,part_of,BAY-P-D-005,P-D
REL-BAY-P-D-006-ZONE,part_of,BAY-P-D-006,P-D
REL-BAY-P-D-007-ZONE,part_of,BAY-P-D-007,P-D
REL-BAY-P-D-008-ZONE,part_of,BAY-P-D-008,P-D
REL-BAY-P-D-009-ZONE,part_of,BAY-P-D-009,P-D
REL-BAY-P-D-010-ZONE,part_of,BAY-P-D-010,P-D
REL-BAY-P-D-011-ZONE,part_of,BAY-P-D-011,P-D
REL-BAY-P-D-012-ZONE,part_of,BAY-P-D-012,P-D
REL-BAY-P-D-013-ZONE,part_of,BAY-P-D-013,P-D
REL-BAY-P-D-014-ZONE,part_of,BAY-P-D-014,P-D
REL-BAY-P-D-015-ZONE,part_of,BAY-P-D-015,P-D
REL-BAY-P-D-016-ZONE,part_of,BAY-P-D-016,P-D
REL-BAY-P-D-017-ZONE,part_of,BAY-P-D-017,P-D
REL-BAY-P-D-018-ZONE,part_of,BAY-P-D-018,P-D
REL-BAY-P-D-019-ZONE,part_of,BAY-P-D-019,P-D
REL-BAY-P-D-020-ZONE,part_of,BAY-P-D-020,P-D
REL-BAY-P-D-021-ZONE,part_of,BAY-P-D-021,P-D
REL-BAY-P-D-022-ZONE,part_of,BAY-P-D-022,P-D
REL-BAY-P-D-023-ZONE,part_of,BAY-P-D-023,P-D
REL-BAY-P-D-024-ZONE,part_of,BAY-P-D-024,P-D
REL-BAY-P-D-025-ZONE,part_of,BAY-P-D-025,P-D
REL-BAY-P-D-026-ZONE,part_of,BAY-P-D-026,P-D
REL-BAY-P-D-027-ZONE,part_of,BAY-P-D-027,P-D
REL-BAY-P-D-028-ZONE,part_of,BAY-P-D-028,P-D
REL-BAY-P-D-029-ZONE,part_of,BAY-P-D-029,P-D
REL-BAY-P-D-030-ZONE,part_of,BAY-P-D-030,P-D
REL-BAY-P-D-031-ZONE,part_of,BAY-P-D-031,P-D
REL-BAY-P-D-032-ZONE,part_of,BAY-P-D-032,P-D
REL-BAY-P-D-033-ZONE,part_of,BAY-P-D-033,P-D
REL-BAY-P-D-034-ZONE,part_of,BAY-P-D-034,P-D
REL-BAY-P-D-035-ZONE,part_of,BAY-P-D-035,P-D
REL-BAY-P-E-001-ZONE,part_of,BAY-P-E-001,P-E
REL-BAY-P-E-002-ZONE,part_of,BAY-P-E-002,P-E
REL-BAY-P-E-003-ZONE,part_of,BAY-P-E-003,P-E
REL-BAY-P-E-004-ZONE,part_of,BAY-P-E-004,P-E
REL-BAY-P-E-005-ZONE,part_of,BAY-P-E-005,P-E
REL-BAY-P-E-006-ZONE,part_of,BAY-P-E-006,P-E
REL-BAY-P-E-007-ZONE,part_of,BAY-P-E-007,P-E
REL-BAY-P-E-008-ZONE,part_of,BAY-P-E-008,P-E
REL-BAY-P-E-009-ZONE,part_of,BAY-P-E-009,P-E
REL-BAY-P-E-010-ZONE,part_of,BAY-P-E-010,P-E
REL-BAY-P-E-011-ZONE,part_of,BAY-P-E-011,P-E
REL-BAY-P-E-012-ZONE,part_of,BAY-P-E-012,P-E
REL-BAY-P-E-013-ZONE,part_of,BAY-P-E-013,P-E
REL-BAY-P-E-014-ZONE,part_of,BAY-P-E-014,P-E
REL-BAY-P-E-015-ZONE,part_of,BAY-P-E-015,P-E
REL-BAY-P-E-016-ZONE,part_of,BAY-P-E-016,P-E
REL-BAY-P-E-017-ZONE,part_of,BAY-P-E-017,P-E
REL-BAY-P-E-018-ZONE,part_of,BAY-P-E-018,P-E
REL-BAY-P-E-019-ZONE,part_of,BAY-P-E-019,P-E
REL-BAY-P-E-020-ZONE,part_of,BAY-P-E-020,P-E
REL-BAY-P-E-021-ZONE,part_of,BAY-P-E-021,P-E
REL-BAY-P-E-022-ZONE,part_of,BAY-P-E-022,P-E
REL-BAY-P-E-023-ZONE,part_of,BAY-P-E-023,P-E
REL-BAY-P-E-024-ZONE,part_of,BAY-P-E-024,P-E
REL-BAY-P-E-025-ZONE,part_of,BAY-P-E-025,P-E
REL-BAY-P-E-026-ZONE,part_of,BAY-P-E-026,P-E
REL-BAY-P-E-027-ZONE,part_of,BAY-P-E-027,P-E
REL-BAY-P-E-028-ZONE,part_of,BAY-P-E-028,P-E
REL-BAY-P-E-029-ZONE,part_of,BAY-P-E-029,P-E
REL-BAY-P-E-030-ZONE,part_of,BAY-P-E-030,P-E
REL-BLD-EXISTING-SITE,contained_in,BLD-EXISTING,SITE-001
REL-BLD-EXTENSION-SITE,contained_in,BLD-EXTENSION,SITE-001
REL-CONN-001-EX,connects,CONN-001,BLD-EXISTING
REL-CONN-001-NEW,connects,CONN-001,BLD-EXTENSION
REL-CONN-002-EX,connects,CONN-002,BLD-EXISTING
REL-CONN-002-NEW,connects,CONN-002,BLD-EXTENSION
REL-CONN-003-EX,connects,CONN-003,BLD-EXISTING
REL-CONN-003-NEW,connects,CONN-003,BLD-EXTENSION
REL-CONN-004-EX,connects,CONN-004,BLD-EXISTING
REL-CONN-004-NEW,connects,CONN-004,BLD-EXTENSION
REL-DOOR-001-HOST,hosted_by,DOOR-001,WALL-EX-L00-S
REL-DOOR-002-HOST,hosted_by,DOOR-002,WALL-NEW-L00-E
REL-DOOR-003-HOST,hosted_by,DOOR-003,WALL-EX-L00-I1
REL-DOOR-004-HOST,hosted_by,DOOR-004,WALL-NEW-L00-I1
REL-DOOR-005-HOST,hosted_by,DOOR-005,WALL-EX-L01-I1
REL-DOOR-006-HOST,hosted_by,DOOR-006,WALL-NEW-L01-I1
REL-P-A-SITE,contained_in,P-A,SITE-001
REL-P-B-SITE,contained_in,P-B,SITE-001
REL-P-C-SITE,contained_in,P-C,SITE-001
REL-P-D-SITE,contained_in,P-D,SITE-001
REL-P-E-SITE,contained_in,P-E,SITE-001
REL-ROOF-BLD-EXISTING-BLD,part_of,ROOF-BLD-EXISTING,BLD-EXISTING
REL-ROOF-BLD-EXTENSION-BLD,part_of,ROOF-BLD-EXTENSION,BLD-EXTENSION
REL-SLAB-BLD-EXISTING-L00-BLD,part_of,SLAB-BLD-EXISTING-L00,BLD-EXISTING
REL-SLAB-BLD-EXISTING-L00-LEVEL,contained_in_level,SLAB-BLD-EXISTING-L00,L00
REL-SLAB-BLD-EXISTING-L01-BLD,part_of,SLAB-BLD-EXISTING-L01,BLD-EXISTING
REL-SLAB-BLD-EXISTING-L01-LEVEL,contained_in_level,SLAB-BLD-EXISTING-L01,L01
REL-SLAB-BLD-EXTENSION-L00-BLD,part_of,SLAB-BLD-EXTENSION-L00,BLD-EXTENSION
REL-SLAB-BLD-EXTENSION-L00-LEVEL,contained_in_level,SLAB-BLD-EXTENSION-L00,L00
REL-SLAB-BLD-EXTENSION-L01-BLD,part_of,SLAB-BLD-EXTENSION-L01,BLD-EXTENSION
REL-SLAB-BLD-EXTENSION-L01-LEVEL,contained_in_level,SLAB-BLD-EXTENSION-L01,L01
REL-SP-L00-01-BLD,part_of,SP-L00-01,BLD-EXISTING
REL-SP-L00-01-LEVEL,contained_in_level,SP-L00-01,L00
REL-SP-L00-02-BLD,part_of,SP-L00-02,BLD-EXISTING
REL-SP-L00-02-LEVEL,contained_in_level,SP-L00-02,L00
REL-SP-L00-03-BLD,part_of,SP-L00-03,BLD-EXISTING
REL-SP-L00-03-LEVEL,contained_in_level,SP-L00-03,L00
REL-SP-L00-04-BLD,part_of,SP-L00-04,BLD-EXISTING
REL-SP-L00-04-LEVEL,contained_in_level,SP-L00-04,L00
REL-SP-L00-05-BLD,part_of,SP-L00-05,BLD-EXTENSION
REL-SP-L00-05-LEVEL,contained_in_level,SP-L00-05,L00
REL-SP-L00-06-BLD,part_of,SP-L00-06,BLD-EXTENSION
REL-SP-L00-06-LEVEL,contained_in_level,SP-L00-06,L00
REL-SP-L01-01-BLD,part_of,SP-L01-01,BLD-EXISTING
REL-SP-L01-01-LEVEL,contained_in_level,SP-L01-01,L01
REL-SP-L01-02-BLD,part_of,SP-L01-02,BLD-EXISTING
REL-SP-L01-02-LEVEL,contained_in_level,SP-L01-02,L01
REL-SP-L01-03-BLD,part_of,SP-L01-03,BLD-EXISTING
REL-SP-L01-03-LEVEL,contained_in_level,SP-L01-03,L01
REL-SP-L01-04-BLD,part_of,SP-L01-04,BLD-EXISTING
REL-SP-L01-04-LEVEL,contained_in_level,SP-L01-04,L01
REL-SP-L01-05-BLD,part_of,SP-L01-05,BLD-EXTENSION
REL-SP-L01-05-LEVEL,contained_in_level,SP-L01-05,L01
REL-SP-L01-06-BLD,part_of,SP-L01-06,BLD-EXTENSION
REL-SP-L01-06-LEVEL,contained_in_level,SP-L01-06,L01
REL-STAIR-L00,connects_level,STAIR-001,L00
REL-STAIR-L01,connects_level,STAIR-001,L01
REL-WALL-EX-L00-E-N-BLD,part_of,WALL-EX-L00-E-N,BLD-EXISTING
REL-WALL-EX-L00-E-N-LEVEL,contained_in_level,WALL-EX-L00-E-N,L00
REL-WALL-EX-L00-E-S-BLD,part_of,WALL-EX-L00-E-S,BLD-EXISTING
REL-WALL-EX-L00-E-S-LEVEL,contained_in_level,WALL-EX-L00-E-S,L00
REL-WALL-EX-L00-I1-BLD,part_of,WALL-EX-L00-I1,BLD-EXISTING
REL-WALL-EX-L00-I1-LEVEL,contained_in_level,WALL-EX-L00-I1,L00
REL-WALL-EX-L00-I2-BLD,part_of,WALL-EX-L00-I2,BLD-EXISTING
REL-WALL-EX-L00-I2-LEVEL,contained_in_level,WALL-EX-L00-I2,L00
REL-WALL-EX-L00-I3-BLD,part_of,WALL-EX-L00-I3,BLD-EXISTING
REL-WALL-EX-L00-I3-LEVEL,contained_in_level,WALL-EX-L00-I3,L00
REL-WALL-EX-L00-N-BLD,part_of,WALL-EX-L00-N,BLD-EXISTING
REL-WALL-EX-L00-N-LEVEL,contained_in_level,WALL-EX-L00-N,L00
REL-WALL-EX-L00-S-BLD,part_of,WALL-EX-L00-S,BLD-EXISTING
REL-WALL-EX-L00-S-LEVEL,contained_in_level,WALL-EX-L00-S,L00
REL-WALL-EX-L00-W-BLD,part_of,WALL-EX-L00-W,BLD-EXISTING
REL-WALL-EX-L00-W-LEVEL,contained_in_level,WALL-EX-L00-W,L00
REL-WALL-EX-L01-E-N-BLD,part_of,WALL-EX-L01-E-N,BLD-EXISTING
REL-WALL-EX-L01-E-N-LEVEL,contained_in_level,WALL-EX-L01-E-N,L01
REL-WALL-EX-L01-E-S-BLD,part_of,WALL-EX-L01-E-S,BLD-EXISTING
REL-WALL-EX-L01-E-S-LEVEL,contained_in_level,WALL-EX-L01-E-S,L01
REL-WALL-EX-L01-I1-BLD,part_of,WALL-EX-L01-I1,BLD-EXISTING
REL-WALL-EX-L01-I1-LEVEL,contained_in_level,WALL-EX-L01-I1,L01
REL-WALL-EX-L01-I2-BLD,part_of,WALL-EX-L01-I2,BLD-EXISTING
REL-WALL-EX-L01-I2-LEVEL,contained_in_level,WALL-EX-L01-I2,L01
REL-WALL-EX-L01-I3-BLD,part_of,WALL-EX-L01-I3,BLD-EXISTING
REL-WALL-EX-L01-I3-LEVEL,contained_in_level,WALL-EX-L01-I3,L01
REL-WALL-EX-L01-N-BLD,part_of,WALL-EX-L01-N,BLD-EXISTING
REL-WALL-EX-L01-N-LEVEL,contained_in_level,WALL-EX-L01-N,L01
REL-WALL-EX-L01-S-BLD,part_of,WALL-EX-L01-S,BLD-EXISTING
REL-WALL-EX-L01-S-LEVEL,contained_in_level,WALL-EX-L01-S,L01
REL-WALL-EX-L01-W-BLD,part_of,WALL-EX-L01-W,BLD-EXISTING
REL-WALL-EX-L01-W-LEVEL,contained_in_level,WALL-EX-L01-W,L01
REL-WALL-NEW-L00-E-BLD,part_of,WALL-NEW-L00-E,BLD-EXTENSION
REL-WALL-NEW-L00-E-LEVEL,contained_in_level,WALL-NEW-L00-E,L00
REL-WALL-NEW-L00-I1-BLD,part_of,WALL-NEW-L00-I1,BLD-EXTENSION
REL-WALL-NEW-L00-I1-LEVEL,contained_in_level,WALL-NEW-L00-I1,L00
REL-WALL-NEW-L00-I2-BLD,part_of,WALL-NEW-L00-I2,BLD-EXTENSION
REL-WALL-NEW-L00-I2-LEVEL,contained_in_level,WALL-NEW-L00-I2,L00
REL-WALL-NEW-L00-N-BLD,part_of,WALL-NEW-L00-N,BLD-EXTENSION
REL-WALL-NEW-L00-N-LEVEL,contained_in_level,WALL-NEW-L00-N,L00
REL-WALL-NEW-L00-S-BLD,part_of,WALL-NEW-L00-S,BLD-EXTENSION
REL-WALL-NEW-L00-S-LEVEL,contained_in_level,WALL-NEW-L00-S,L00
REL-WALL-NEW-L01-E-BLD,part_of,WALL-NEW-L01-E,BLD-EXTENSION
REL-WALL-NEW-L01-E-LEVEL,contained_in_level,WALL-NEW-L01-E,L01
REL-WALL-NEW-L01-I1-BLD,part_of,WALL-NEW-L01-I1,BLD-EXTENSION
REL-WALL-NEW-L01-I1-LEVEL,contained_in_level,WALL-NEW-L01-I1,L01
REL-WALL-NEW-L01-I2-BLD,part_of,WALL-NEW-L01-I2,BLD-EXTENSION
REL-WALL-NEW-L01-I2-LEVEL,contained_in_level,WALL-NEW-L01-I2,L01
REL-WALL-NEW-L01-N-BLD,part_of,WALL-NEW-L01-N,BLD-EXTENSION
REL-WALL-NEW-L01-N-LEVEL,contained_in_level,WALL-NEW-L01-N,L01
REL-WALL-NEW-L01-S-BLD,part_of,WALL-NEW-L01-S,BLD-EXTENSION
REL-WALL-NEW-L01-S-LEVEL,contained_in_level,WALL-NEW-L01-S,L01
REL-WINDOW-001-HOST,hosted_by,WINDOW-001,WALL-EX-L00-N
REL-WINDOW-002-HOST,hosted_by,WINDOW-002,WALL-EX-L00-N
REL-WINDOW-003-HOST,hosted_by,WINDOW-003,WALL-EX-L00-W
REL-WINDOW-004-HOST,hosted_by,WINDOW-004,WALL-NEW-L00-N
REL-WINDOW-005-HOST,hosted_by,WINDOW-005,WALL-NEW-L00-E
REL-WINDOW-006-HOST,hosted_by,WINDOW-006,WALL-EX-L01-N
REL-WINDOW-007-HOST,hosted_by,WINDOW-007,WALL-EX-L01-N
REL-WINDOW-008-HOST,hosted_by,WINDOW-008,WALL-EX-L01-W
REL-WINDOW-009-HOST,hosted_by,WINDOW-009,WALL-NEW-L01-N
REL-WINDOW-010-HOST,hosted_by,WINDOW-010,WALL-NEW-L01-E
